campaign,brand,year,headline,rhetoricalDevices,rationale,outcome,whenToUse,whenNotToUse
Dilly Dilly,Bud Light,2017,Dilly Dilly.,Neologism,Created a cultural catchphrase.,Massive viral spread.,When humor suits brand.,When clarity is critical.
Disgusting Stories,UNICEF,2018,Stories No Child Should Write.,Shock Value,Exposed child abuse through stories.,Raised awareness globally.,When confronting tough issues.,When tone is lighthearted.
It's a Tide Ad,Tide,2018,It's a Tide Ad.,Metacommentary,Blurred lines between ads.,Won Super Bowl attention.,When surprising the audience.,When clarity is key.
The Talk,Procter & Gamble,2017,The Talk.,Empathy,Addressed racial bias in families.,Sparked important discussions.,When social impact is core.,When controversy must be avoided.
Breaking Ballet,Joburg Ballet,2017,Breaking Ballet.,Wordplay,Modernized ballet with viral relevance.,Revitalized audience interest.,When reframing tradition.,When focusing on classical purity.
The IKEA Catalogue,IKEA,2014,Experience the Power of a Bookbook.,Satire,Mocked tech launches for humor.,Generated massive online engagement.,When humor suits the brand.,When tone must remain serious.
Evan,Sandy Hook Promise,2016,Know the Signs.,Shock Reveal,Hidden story about gun violence.,Powerful viral impact.,When awareness is urgent.,When sensitivity is a concern.
Parisian Love,Google,2009,Search On.,Narrative,Used a love story to humanize technology.,Highly acclaimed Super Bowl spot.,When demonstrating emotional relevance.,When focusing solely on product features.
The Scarecrow,Chipotle,2013,Cultivate a Better World.,Metaphor,Animated film criticized industrial food.,Award-winning content marketing.,When challenging industry norms.,When tone must stay neutral.
It's Mine,Coca-Cola,2008,It's Mine.,Possessive Pronoun,Super Bowl ad with balloon characters.,Widely loved execution.,When ownership messaging fits.,When focusing on sharing.
Good Things Come to Those Who Wait,Guinness,1999,Good Things Come to Those Who Wait.,Proverb,Aligned patience with product experience.,Iconic 'Surfer' ad.,When reinforcing patience.,When speed is key.
Be Stupid,Diesel,2010,Be Stupid.,Paradox,Encouraged risk-taking.,"Provocative, award-winning.",When embracing nonconformity.,When caution is key.
Re2pect,Jordan Brand,2014,RE2PECT.,Wordplay,Honored Derek Jeter's career.,Viral cultural moment.,When celebrating legacy.,When neutrality is needed.
Puppy Love,Budweiser,2014,Best Friends.,Emotional Appeal,Animal friendship story.,Super Bowl favorite.,When evoking warmth.,When humor is primary.
"Thank You, Internet",GE,2015,"Thank You, Internet.",Gratitude,Celebrated maker culture.,Positive sentiment online.,When tapping cultural trends.,When focusing on product specs.
Real Beauty Sketches,Dove,2013,You Are More Beautiful Than You Think.,Juxtaposition,Contrasted self-image and perception.,Most viewed online ad.,When challenging self-perception.,When focusing on product features.
Power of Dreams,Honda,2004,The Power of Dreams.,Metaphor,Inspired ambition.,Brand-defining platform.,When motivating audiences.,When focusing on practicality.
The Man Your Man Could Smell Like,Old Spice,2010,"Smell Like a Man, Man.",Repetition,Parodied masculinity tropes.,Viral success.,When humor fits.,When tone is serious.
Make the Logo Bigger Cream,Agency Self-Promo,2007,Make the Logo Bigger.,Satire,Mocked client feedback clichés.,Cult favorite.,When inside humor resonates.,When clarity is required.
Choose Beautiful,Dove,2015,Choose Beautiful.,Imperative,Empowered self-image.,Global engagement.,When addressing confidence.,When product focus is critical.
Live There,Airbnb,2016,Don't Go There. Live There.,Antithesis,Contrasted tourism with belonging.,Strengthened brand differentiation.,When promoting immersion.,When focusing on convenience.
We Accept,Airbnb,2017,We Accept.,Inclusive Statement,Promoted diversity and inclusion.,Reinforced brand values.,When standing for acceptance.,When neutrality is needed.
Beyond the Label,Levi's,2018,Threads of Truth,"metaphor, zeugma",Uses clothing labels as metaphors for identity and social categories.,Demonstrates metaphor and zeugma techniques.,When challenging stereotypes.,When the audience may feel defensive about labels.
A City of Light,IKEA,2015,Illuminate Home,"metonymy, antithesis",Contrasts cold cityscapes with warm interior lighting.,Demonstrates metonymy and antithesis techniques.,When promoting cozy atmospheres.,When minimalism is the brand aesthetic.
Reclaim the Streets,Puma,2017,Unleash Asphalt,"personification, ellipsis","Gives the street agency, suggesting liberation.",Demonstrates personification and ellipsis techniques.,When targeting youth culture.,When communicating luxury.
Little Giants,Lego,2014,Tiny Titans,"hyperbole, alliteration",Amplifies small creations to heroic scale.,Demonstrates hyperbole and alliteration techniques.,When encouraging imagination.,When realism is central.
Unbreakable Bond,Elmer's Glue,2013,Stick Forever,"symbolism, paralipsis",Symbolizes commitment through adhesive imagery.,Demonstrates symbolism and paralipsis techniques.,When highlighting reliability.,When separation is desired.
Clean Slate,Mr. Clean,2016,Erase Yesterday,"metaphor, synecdoche",Transforms cleaning into temporal renewal.,Demonstrates metaphor and synecdoche techniques.,When promoting fresh starts.,When nostalgia is valued.
Fresh to Death,Old Spice,2019,Lethally Clean,"irony, oxymoron",Combines humor with exaggeration.,Demonstrates irony and oxymoron techniques.,When appealing to irreverent humor.,When seriousness is required.
Digital Roots,Google,2020,Plant Connection,"symbolism, metaphor",Frames tech as natural growth.,Demonstrates symbolism and metaphor techniques.,When demystifying technology.,When emphasizing technical complexity.
Edge of Now,Samsung,2018,Tomorrow's Touch,"juxtaposition, anaphora",Contrasts old tools with modern interfaces.,Demonstrates juxtaposition and anaphora techniques.,When showing innovation.,When heritage is core.
No Ordinary Ride,Jeep,2015,Go Beyond,"hyperbole, imperative",Elevates travel to an odyssey.,Demonstrates hyperbole and imperative techniques.,When inspiring adventure.,When practicality is focus.
The Quiet Revolution,Tesla,2016,Silence Roars,"paradox, oxymoron",Uses silence as power.,Demonstrates paradox and oxymoron techniques.,When emphasizing disruption.,When conformity is valued.
Flavor Nation,Lay's,2014,Taste United,"personification, synecdoche",Presents flavors as citizens.,Demonstrates personification and synecdoche techniques.,When unifying diverse options.,When singular focus is required.
Power Within,Duracell,2013,Unseen Force,"metaphor, ellipsis",Highlights invisible energy.,Demonstrates metaphor and ellipsis techniques.,When focusing on longevity.,When transparency is needed.
Brighter Futures,UNICEF,2017,Light Lives,"symbolism, zeugma",Uses illumination as hope.,Demonstrates symbolism and zeugma techniques.,When driving donations.,When celebrating current success.
Heartbeats,Fitbit,2018,Count On,"metonymy, imperative",Uses counting as trust.,Demonstrates metonymy and imperative techniques.,When promoting accountability.,When relaxation is key.
Living Ink,Sharpie,2015,Mark Forever,"hyperbole, alliteration",Immortalizes writing.,Demonstrates hyperbole and alliteration techniques.,When celebrating creativity.,When erasability is needed.
Frictionless,PayPal,2019,Touch Freedom,"juxtaposition, metaphor",Equates payment with liberation.,Demonstrates juxtaposition and metaphor techniques.,When emphasizing ease.,When discussing security.
Time Travelers,Rolex,2016,Wear Eternity,"metaphor, imperative",Links watch to immortality.,Demonstrates metaphor and imperative techniques.,When promoting legacy.,When affordability is key.
Mindful Moves,Headspace,2017,Breathe Change,"symbolism, imperative",Breath as transformation.,Demonstrates symbolism and imperative techniques.,When inspiring calm.,When urgency is needed.
Unseen Heroes,3M,2018,Invisible Strength,"metonymy, oxymoron",Showcases hidden utility.,Demonstrates metonymy and oxymoron techniques.,When celebrating behind-the-scenes work.,When visibility is desired.
Roots Run Deep,Timberland,2013,Stand Firm,"symbolism, imperative",Trees as resilience.,Demonstrates symbolism and imperative techniques.,When underscoring durability.,When promoting change.
Second Skin,Under Armour,2016,Become Faster,"metaphor, imperative",Clothing as transformation.,Demonstrates metaphor and imperative techniques.,When promoting performance.,When comfort is focus.
Voice of Change,Twitter,2019,Speak Loud,"personification, imperative",Platform as amplifier.,Demonstrates personification and imperative techniques.,When championing activism.,When neutrality is needed.
Infinite Canvas,Adobe,2014,Create Endlessly,"hyperbole, imperative",Unbounded creativity.,Demonstrates hyperbole and imperative techniques.,When inspiring professionals.,When constraints are necessary.
Stay Human,Benetton,2015,Wear Kindness,"symbolism, imperative",Clothing as values.,Demonstrates symbolism and imperative techniques.,When promoting social causes.,When neutrality is preferred.
Open Horizons,Airbnb,2017,Stay Curious,"metaphor, imperative",Travel as personal growth.,Demonstrates metaphor and imperative techniques.,When inspiring exploration.,When focusing on luxury.
Limitless Sound,Bose,2019,Hear Infinity,"hyperbole, imperative",Elevates audio to boundlessness.,Demonstrates hyperbole and imperative techniques.,When promoting premium quality.,When practicality is key.
Shape Tomorrow,Intel,2018,Invent Forward,"symbolism, imperative",Technology as progress.,Demonstrates symbolism and imperative techniques.,When highlighting innovation.,When tradition is central.
True Grit,Carhartt,2016,Endure More,"metonymy, imperative",Workwear as resilience.,Demonstrates metonymy and imperative techniques.,When celebrating toughness.,When ease is focus.
Spark Joy,KonMari,2019,Keep Magic,"personification, imperative",Decluttering as enchantment.,Demonstrates personification and imperative techniques.,When promoting minimalism.,When excess is celebrated.
Digital Sanctuary,Dropbox,2017,Store Peace,"metaphor, imperative",Storage as tranquility.,Demonstrates metaphor and imperative techniques.,When emphasizing security.,When transparency is focus.
Dream Awake,Tempur-Pedic,2016,Sleep Boldly,"symbolism, imperative",Rest as empowerment.,Demonstrates symbolism and imperative techniques.,When luxury is key.,When economy is focus.
Urban Myth,Adidas,2018,Run Legends,"hyperbole, imperative",Running as heroism.,Demonstrates hyperbole and imperative techniques.,When inspiring performance.,When authenticity is needed.
Refined Chaos,Diesel,2015,Live Wild,"juxtaposition, imperative",Contrasts polish and rebellion.,Demonstrates juxtaposition and imperative techniques.,When targeting youth.,When elegance is focus.
Hidden Depths,Patagonia,2014,Explore Beneath,"metaphor, imperative",Nature as discovery.,Demonstrates metaphor and imperative techniques.,When promoting adventure.,When indoor living is focus.
Rhythm Nation,Beats by Dre,2016,Feel Sound,"personification, imperative",Sound as physical sensation.,Demonstrates personification and imperative techniques.,When highlighting immersion.,When discussing analysis.
World in Motion,National Geographic,2017,See Beyond,"metaphor, imperative",Photography as window to truth.,Demonstrates metaphor and imperative techniques.,When educating audiences.,When simplicity is needed.
Unseen Forces,Dyson,2019,Defy Gravity,"hyperbole, imperative",Technology as magic.,Demonstrates hyperbole and imperative techniques.,When emphasizing innovation.,When familiarity is valued.
Roots Reimagined,Whole Foods,2016,Grow Different,"metaphor, imperative",Food as culture.,Demonstrates metaphor and imperative techniques.,When promoting health.,When indulgence is focus.
Soundtrack of Life,Spotify,2017,Play Memory,"personification, imperative",Music as nostalgia.,Demonstrates personification and imperative techniques.,When celebrating emotion.,When neutrality is focus.
Timeless Style,Ralph Lauren,2018,Dress Forever,"symbolism, imperative",Clothing as permanence.,Demonstrates symbolism and imperative techniques.,When highlighting legacy.,When trendiness is focus.
Invisible Power,Energizer,2019,Last Longer,"metonymy, imperative",Battery as endurance.,Demonstrates metonymy and imperative techniques.,When emphasizing longevity.,When speed is focus.
Blank Canvas,Apple,2015,Imagine More,"symbolism, imperative",Device as creativity.,Demonstrates symbolism and imperative techniques.,When inspiring possibility.,When focusing on specs.
Parallel Lives,Facebook,2014,Connect Always,"juxtaposition, imperative",Digital as real life.,Demonstrates juxtaposition and imperative techniques.,When emphasizing relationships.,When discussing privacy.
Hidden Sparks,Zippo,2015,Ignite Instantly,"personification, imperative",Lighter as inspiration.,Demonstrates personification and imperative techniques.,When celebrating spontaneity.,When safety is concern.
Inner Fire,Red Bull,2016,Awaken Power,"metaphor, imperative",Energy drink as awakening.,Demonstrates metaphor and imperative techniques.,When inspiring action.,When calm is focus.
Silent Revolution,Toyota,2017,Drive Change,"paradox, imperative",Hybrid as disruption.,Demonstrates paradox and imperative techniques.,When showcasing innovation.,When tradition is valued.
Bold Moves,Ford,2018,Go Fearless,"hyperbole, imperative",Car as courage.,Demonstrates hyperbole and imperative techniques.,When targeting ambition.,When caution is focus.
Taste of Tomorrow,Impossible Foods,2019,Eat Future,"metaphor, imperative",Plant-based as progress.,Demonstrates metaphor and imperative techniques.,When promoting innovation.,When tradition is central.
Color Outside,Crayola,2015,Draw Freedom,"symbolism, imperative",Art as liberation.,Demonstrates symbolism and imperative techniques.,When inspiring children.,When structure is needed.
Parallel Futures,Microsoft,2017,Code Tomorrow,"metaphor, imperative",Software as destiny shaping.,Demonstrates metaphor and imperative techniques.,When inspiring builders.,When focusing on current products.
Silent Strength,Subaru,2016,Endure Quietly,"paradox, adverbial emphasis",Car as resilient yet subtle.,Demonstrates paradox and adverbial emphasis techniques.,When promoting reliability.,When luxury is focus.
Breath of Fresh,Brita,2015,Drink Clarity,"metaphor, imperative",Water as enlightenment.,Demonstrates metaphor and imperative techniques.,When highlighting purity.,When discussing cost.
Forever Forward,FedEx,2018,Deliver Future,"symbolism, imperative",Logistics as progress.,Demonstrates symbolism and imperative techniques.,When focusing on innovation.,When stability is focus.
Living Light,Philips Hue,2019,Color Life,"personification, imperative",Lighting as mood-shaping.,Demonstrates personification and imperative techniques.,When emphasizing emotion.,When utility is focus.
Taste Elevated,Sriracha,2016,Spice Heights,"hyperbole, noun-as-verb",Heat as altitude.,Demonstrates hyperbole and noun-as-verb techniques.,When celebrating intensity.,When mildness is preferred.
Infinite Motion,Peloton,2018,Ride Eternity,"metaphor, imperative",Exercise as timelessness.,Demonstrates metaphor and imperative techniques.,When inspiring commitment.,When leisure is focus.
Echoes,Sonos,2015,Fill Silence,"paradox, imperative",Sound as presence.,Demonstrates paradox and imperative techniques.,When emphasizing immersion.,When simplicity is needed.
Beyond Limits,GoPro,2016,Record Fearless,"hyperbole, imperative",Adventure as necessity.,Demonstrates hyperbole and imperative techniques.,When promoting action.,When safety is concern.
Grow Bold,John Deere,2014,Harvest Bravery,"metaphor, noun-as-verb",Farming as courage.,Demonstrates metaphor and noun-as-verb techniques.,When celebrating legacy.,When modernity is focus.
Boundless Imagination,Disney,2017,Dream Wider,"hyperbole, comparative",Fantasy as expansiveness.,Demonstrates hyperbole and comparative techniques.,When inspiring wonder.,When realism is needed.
Core Strength,Nike,2018,Train Deeper,"symbolism, comparative",Fitness as self-discovery.,Demonstrates symbolism and comparative techniques.,When emphasizing growth.,When promoting ease.
Unlock Potential,MasterCard,2015,Buy Freedom,"metaphor, imperative",Purchase as liberation.,Demonstrates metaphor and imperative techniques.,When promoting empowerment.,When minimalism is key.
Parallel Tastes,Ben & Jerry's,2014,Scoop Harmony,"personification, imperative",Flavors as community.,Demonstrates personification and imperative techniques.,When celebrating diversity.,When singular focus is needed.
Timeless Drive,Mercedes-Benz,2017,Command Time,"metaphor, imperative",Luxury as control.,Demonstrates metaphor and imperative techniques.,When highlighting heritage.,When affordability is key.
Inside Out,TOMS,2016,Wear Change,"symbolism, imperative",Shoes as activism.,Demonstrates symbolism and imperative techniques.,When emphasizing purpose.,When neutrality is desired.
Future Proof,IBM,2015,Think Ahead,"symbolism, imperative",Technology as insurance.,Demonstrates symbolism and imperative techniques.,When promoting security.,When simplicity is focus.
Urban Echo,Urban Outfitters,2014,Wear Now,"juxtaposition, imperative",Style as immediacy.,Demonstrates juxtaposition and imperative techniques.,When targeting youth.,When heritage is focus.
Bright Tomorrow,SolarCity,2017,Power Future,"metaphor, imperative",Energy as optimism.,Demonstrates metaphor and imperative techniques.,When inspiring change.,When status quo is valued.
True Colors,Pantone,2015,Match Life,"symbolism, imperative",Color as identity.,Demonstrates symbolism and imperative techniques.,When celebrating individuality.,When uniformity is needed.
Silent Witness,Canon,2016,Capture Truth,"personification, imperative",Camera as observer.,Demonstrates personification and imperative techniques.,When focusing on authenticity.,When stylization is desired.
Endless Summer,Corona,2018,Taste Escape,"metaphor, imperative",Beer as vacation.,Demonstrates metaphor and imperative techniques.,When promoting relaxation.,When productivity is focus.
Sustainable Steps,Allbirds,2019,Walk Lightly,"symbolism, imperative",Shoes as ethics.,Demonstrates symbolism and imperative techniques.,When highlighting responsibility.,When performance is primary.
Waves of Change,Patagonia,2019,Wear Future,"metaphor, imperative",Clothing as activism.,Demonstrates metaphor and imperative techniques.,When promoting sustainability.,When neutrality is preferred.
Hidden Currents,Levi's,2016,Denim Unseen,"personification, noun-as-adjective",Jeans as silent culture.,Demonstrates personification and noun-as-adjective techniques.,When celebrating authenticity.,When highlighting trends.
New Rituals,Starbucks,2015,Sip Purpose,"symbolism, imperative",Coffee as connection.,Demonstrates symbolism and imperative techniques.,When emphasizing community.,When focusing on convenience.
Unseen Energy,Tesla,2018,Drive Silent,"paradox, imperative",Electricity as quiet power.,Demonstrates paradox and imperative techniques.,When highlighting disruption.,When tradition is key.
Instant Wonder,Polaroid,2017,Freeze Joy,"personification, imperative",Photography as preservation.,Demonstrates personification and imperative techniques.,When celebrating nostalgia.,When focusing on technology.
Voices Rising,Spotify,2019,Stream Freedom,"metaphor, imperative",Music as liberation.,Demonstrates metaphor and imperative techniques.,When promoting diversity.,When uniformity is needed.
Eternal Flame,Zippo,2016,Spark Always,"symbolism, imperative",Lighter as legacy.,Demonstrates symbolism and imperative techniques.,When emphasizing reliability.,When novelty is focus.
Urban Canvas,Vans,2017,Skate Stories,"metaphor, noun-as-noun",Shoes as self-expression.,Demonstrates metaphor and noun-as-noun techniques.,When targeting youth.,When tradition is valued.
Hidden Patterns,IKEA,2018,Assemble Magic,"symbolism, imperative",Furniture as transformation.,Demonstrates symbolism and imperative techniques.,When highlighting possibility.,When focusing on simplicity.
Infinite Journey,Virgin Atlantic,2016,Fly Limitless,"hyperbole, imperative",Flight as transcendence.,Demonstrates hyperbole and imperative techniques.,When inspiring exploration.,When practicality is needed.
Vital Signs,Fitbit,2015,Track Life,"metaphor, imperative",Data as vitality.,Demonstrates metaphor and imperative techniques.,When emphasizing health.,When leisure is focus.
Bright Future,SolarCity,2017,Shine Forward,"symbolism, imperative",Solar as hope.,Demonstrates symbolism and imperative techniques.,When promoting optimism.,When status quo is needed.
Creative Fuel,Adobe,2016,Design Infinite,"hyperbole, imperative",Software as empowerment.,Demonstrates hyperbole and imperative techniques.,When inspiring creators.,When focusing on limits.
Hidden Threads,Etsy,2018,Craft Story,"symbolism, imperative",Handmade as narrative.,Demonstrates symbolism and imperative techniques.,When promoting authenticity.,When mass production is focus.
Open Skies,Delta,2015,Explore Air,"metaphor, imperative",Flight as possibility.,Demonstrates metaphor and imperative techniques.,When promoting adventure.,When emphasizing routine.
Urban Pulse,Uber,2017,Move Instantly,"personification, imperative",Transport as vitality.,Demonstrates personification and imperative techniques.,When highlighting immediacy.,When focusing on safety.
Green Light,Lyft,2016,Share Roads,"symbolism, imperative",Ride-sharing as collaboration.,Demonstrates symbolism and imperative techniques.,When emphasizing community.,When independence is focus.
Silent Signal,Signal,2019,Message Free,"paradox, imperative",Privacy as liberation.,Demonstrates paradox and imperative techniques.,When focusing on security.,When openness is valued.
Unseen Path,North Face,2018,Climb Hidden,"symbolism, imperative",Adventure as revelation.,Demonstrates symbolism and imperative techniques.,When inspiring exploration.,When safety is focus.
Digital Bloom,Squarespace,2017,Grow Online,"personification, imperative",Website as garden.,Demonstrates personification and imperative techniques.,When promoting entrepreneurship.,When simplicity is focus.
Everyday Epic,GoPro,2016,Film Hero,"hyperbole, imperative",Life as adventure.,Demonstrates hyperbole and imperative techniques.,When celebrating action.,When caution is needed.
Silent Harmony,Bose,2018,Hear Purity,"metaphor, imperative",Sound as clarity.,Demonstrates metaphor and imperative techniques.,When highlighting premium.,When affordability is focus.
Time Capsule,Kodak,2015,Keep Moments,"symbolism, imperative",Photography as memory.,Demonstrates symbolism and imperative techniques.,When promoting nostalgia.,When focusing on tech.
Eternal Spring,Evian,2016,Drink Youth,"metaphor, imperative",Water as rejuvenation.,Demonstrates metaphor and imperative techniques.,When celebrating vitality.,When practicality is key.
